"","variable","nrcs.code","emmean","SE","df","lower.CL","upper.CL",".group"
"40","gs","FAGR",0.0503173330273388,0.00757787280640682,13.5462358156015,0.0363910613048676,0.0695729641346147,"B"
"41","chi","FRAM2",0.667793111549848,0.0233304722961068,11.3534381221285,0.616637449562838,0.718948773536858,"A"
"42","chi","ACRU",0.71328495424277,0.0200122408034675,22.0712862102996,0.671789877563122,0.754780030922419,"AB"
"43","chi","QURU",0.717297227297372,0.0210890566921641,20.9916972135494,0.673439076768301,0.761155377826442,"AB"
"44","chi","FAGR",0.734479878523573,0.0158479114774778,13.5462358155742,0.700382359392463,0.768577397654682,"AB"
"45","chi","ACSA3",0.754995841020852,0.0101954081745935,2.7333023097222,0.720682834736645,0.789308847305059,"B"
"46","stom.lim","FAGR",0.595399925033987,0.0564857493704729,4.75056196080067,0.447875287742862,0.742924562325113,"A"
"47","stom.lim","QURU",0.650396586437627,0.0655903811020054,8.19274721878081,0.499762056539349,0.801031116335905,"A"
"48","stom.lim","ACSA3",0.65760060083895,0.046484934782524,2.29026985373293,0.480023748016429,0.835177453661472,"A"
"49","stom.lim","FRAM2",0.684776788942973,0.0682984293256263,8.38525118570234,0.528531006789759,0.841022571096187,"A"
"50","stom.lim","ACRU",0.763664238071533,0.0639052537392873,7.58096633167411,0.614868500809852,0.912459975333214,"A"
"51","pnue","ACRU",21.7415807582963,5.58068343368649,22.0712862103487,11.7097805323806,34.8527048335422,"A"
"52","pnue","QURU",32.1260286634046,7.14877757434724,20.9916972135925,18.9789912520784,48.7131009878656,"A"
"53","pnue","ACSA3",41.4343261056961,3.92492051917157,2.73330230973013,29.2776769123753,55.6965941607703,"A"
"54","pnue","FAGR",42.2100133448784,6.15780441369864,13.5462358156062,30.0008381303632,56.4984437107657,"A"
"55","pnue","FRAM2",53.5255073972458,10.2082203567596,11.3534381221564,33.482428851555,78.2486267605697,"A"
"56","p.rubisco","FAGR",0.228370022537249,0.0273146238006297,9.03479774990974,0.166616309097555,0.290123735976943,"A"
"57","p.rubisco","QURU",0.237527503792739,0.034305323112245,16.9556959650491,0.16513518968711,0.309919817898367,"AB"
"58","p.rubisco","ACRU",0.240397305447603,0.0340489300412471,18.7716296065066,0.1690733498988,0.311721260996406,"AB"
"59","p.rubisco","ACSA3",0.251008552085136,0.0191557135020379,2.52135419098364,0.182946634288265,0.319070469882008,"A"
"60","p.rubisco","FRAM2",0.367811029982281,0.0367916018552258,13.5026796263291,0.288627354833286,0.446994705131277,"B"
"61","p.bioe","QURU",0.0412159350656725,0.00559744050368018,20.103282914629,0.0295437231918357,0.0528881469395092,"A"
"62","p.bioe","ACRU",0.0438855072604644,0.00550748743240913,24.0736811574428,0.0325204526425197,0.0552505618784092,"A"
"63","p.bioe","FAGR",0.0464683311159481,0.00429362092343266,11.782871849178,0.0370941794560802,0.0558424827758161,"A"
"64","p.bioe","ACSA3",0.0465041308456592,0.00283169552946436,2.6509064309173,0.0367823903978046,0.0562258712935138,"A"
"65","p.bioe","FRAM2",0.0592519789986285,0.00612509146138823,12.660427802382,0.0459833545115881,0.072520603485669,"A"
"66","p.photo","FAGR",0.274794141904628,0.03138819159851,9.25471331491249,0.204085901435277,0.34550238237398,"A"
"67","p.photo","QURU",0.278571908167209,0.0395432203697526,17.2967211077136,0.195251896356611,0.361891919977806,"AB"
"68","p.photo","ACRU",0.284167157280613,0.0392248479152183,19.2503461780358,0.202140810347176,0.36619350421405,"AB"
"69","p.photo","ACSA3",0.297594096143503,0.0218869645768781,2.53352165565354,0.220091443235162,0.375096749051845,"A"
"70","p.photo","FRAM2",0.427308658558151,0.0424743053910659,13.5434583156675,0.335921391654931,0.518695925461371,"B"
"71","p.structure","FRAM2",0.0615342024362006,0.00563247503165541,11.1353337417367,0.0491555660681364,0.0739128388042649,"A"
"72","p.structure","FAGR",0.0701150711672813,0.00382579799686848,13.1517154809212,0.0618596187331548,0.0783705236014078,"A"
"73","p.structure","ACSA3",0.0737006810510826,0.0024604828433557,2.83759140824164,0.0656105805398082,0.081790781562357,"AB"
"74","p.structure","QURU",0.074476278404519,0.00509046096036299,20.5037446136162,0.0638744624384717,0.0850780943705663,"AB"
"75","p.structure","ACRU",0.086560404787199,0.00483001765670298,21.5256684225309,0.0765307481518532,0.0965900614225447,"B"
"76","iwue","FAGR",86.8485819338809,5.92255785954126,5.74491500247609,72.1991873794813,101.497976488281,"A"
"77","iwue","ACSA3",87.0751173490786,4.61769657240422,2.28752671927375,69.4181017391581,104.732132958999,"A"
"78","iwue","QURU",93.4963862276496,7.03799911577619,10.4630713882127,77.9083150075338,109.084457447765,"AB"
"79","iwue","ACRU",100.583560600917,7.26543441772915,12.3315835604685,84.8006191238155,116.366502078019,"AB"
"80","iwue","FRAM2",112.194347103293,7.37917509844499,10.2574789428962,95.808292059511,128.580402147075,"B"
"81","narea.chi","ACSA3",1.64727627026835,0.0979539424825794,2.65604356132223,1.31141299089127,1.98313954964543,"A"
"82","narea.chi","ACRU",2.13521722561633,0.192411289708075,21.490568233907,1.73563148701709,2.53480296421557,"A"
"83","narea.chi","FAGR",2.15490938256259,0.156433681236681,14.3785063593519,1.82021923027377,2.48959953485141,"A"
"84","narea.chi","FRAM2",2.17514839059351,0.224948758374214,11.0280394455516,1.6801930550269,2.67010372616012,"AB"
"85","narea.chi","QURU",3.10516610504094,0.202874628622328,20.4233097057818,2.68253864958643,3.52779356049545,"B"
"86","vcmax.chi","ACSA3",50.5674091310236,4.70233723376497,2.6730719614975,34.5118279380013,66.6229903240459,"A"
"87","vcmax.chi","ACRU",62.9580192953229,9.47780651875112,25.7001299372232,43.4650395871107,82.4509990035352,"AB"
"88","vcmax.chi","FAGR",64.6562952729124,7.28320477221143,12.9729045452827,48.9185466694096,80.3940438764151,"AB"
"89","vcmax.chi","FRAM2",91.9290553067299,11.0256446227792,13.5113869054622,68.2009181058395,115.65719250762,"B"
"90","vcmax.chi","QURU",95.4002682410995,9.69425731681653,20.3270519013256,75.1992394888667,115.601296993332,"B"
